,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
103,2019-01-01,600,0,600,30,630,630,0,0
104,2019-01-01,769,0,769,61,830,830,0,0
105,2019-01-01,527,0,527,33,560,560,0,0
106,2019-01-01,4019,-1000,3019,241,3260,3260,0,0
107,2019-01-01,445,0,445,35,480,480,0,0
108,2019-01-01,630,0,630,50,680,680,0,0
109,2019-01-01,315,0,315,25,340,340,0,0
110,2019-01-01,1269,0,1269,101,1370,1370,0,0
111,2019-01-01,1232,0,1232,98,1330,1330,0,0
112,2019-01-01,1491,0,1491,119,1610,1610,0,0
113,2019-01-01,612,0,612,48,660,660,0,0
114,2019-01-01,232,0,232,18,250,250,0,0
115,2019-01-01,2139,0,2139,171,2310,2310,0,0
116,2019-01-01,1186,0,1186,94,1280,1280,0,0
117,2019-01-01,1325,0,1325,105,1430,1430,0,0
118,2019-01-01,1352,0,1352,108,1460,1460,0,0
119,2019-01-01,2408,0,2408,192,2600,2600,0,0
120,2019-01-01,278,0,278,22,300,300,0,0
121,2019-01-01,510,0,510,40,550,550,0,0
122,2019-01-01,407,0,407,23,430,430,0,0
123,2019-01-01,1001,0,1001,79,1080,1080,0,0
124,2019-01-01,1389,0,1389,111,1500,1500,0,0
125,2019-01-01,1667,0,1667,133,1800,1800,0,0
126,2019-01-01,926,0,926,74,1000,1000,0,0
127,2019-01-01,454,0,454,36,490,490,0,0
128,2019-01-01,1213,-1000,213,17,230,230,0,0
129,2019-01-01,1473,0,1473,117,1590,1590,0,0
130,2019-01-01,695,0,695,55,750,750,0,0
131,2019-01-01,565,0,565,45,610,610,0,0
132,2019-01-01,1683,0,1683,117,1800,1800,0,0
133,2019-01-01,612,0,612,48,660,660,0,0
134,2019-01-01,473,0,473,37,510,510,0,0
135,2019-01-01,519,0,519,41,560,560,0,0
136,2019-01-01,1036,0,1036,74,1110,1110,0,0
137,2019-01-01,1797,0,1797,143,1940,1940,0,0
138,2019-01-01,417,0,417,33,450,450,0,0
139,2019-01-01,463,0,463,37,500,500,0,0
140,2019-01-01,843,0,843,67,910,910,0,0
141,2019-01-01,908,0,908,72,980,980,0,0
142,2019-01-01,815,0,815,65,880,880,0,0
143,2019-01-01,1491,0,1491,119,1610,1610,0,0
144,2019-01-01,1658,0,1658,132,1790,1790,0,0
145,2019-01-01,1528,0,1528,122,1650,1650,0,0
146,2019-01-01,926,0,926,74,1000,1000,0,0
147,2019-01-01,1195,0,1195,95,1290,1290,0,0
148,2019-01-01,1158,0,1158,92,1250,1250,0,0
149,2019-01-01,1815,0,1815,145,1960,1960,0,0
150,2019-01-01,1027,0,1027,73,1100,1100,0,0
151,2019-01-01,991,0,991,79,1070,1070,0,0
152,2019-01-01,463,0,463,37,500,500,0,0
153,2019-01-01,306,0,306,24,330,330,0,0
154,2019-01-01,1815,0,1815,145,1960,1960,0,0
155,2019-01-01,1111,0,1111,79,1190,1190,0,0
156,2019-01-01,875,-58,817,65,882,882,0,0
157,2019-01-01,269,0,269,21,290,290,0,0
158,2019-01-01,-1389,0,-1389,-111,-1500,-1500,0,0
159,2019-01-01,1389,0,1389,111,1500,1500,0,0
160,2019-01-01,1917,0,1917,153,2070,2070,0,0
161,2019-01-01,1815,0,1815,145,1960,1960,0,0
162,2019-01-01,3630,0,3630,290,3920,3920,0,0
163,2019-01-01,2723,0,2723,217,2940,2940,0,0
164,2019-01-01,445,0,445,35,480,480,0,0
165,2019-01-01,5001,0,5001,399,5400,0,5400,0
166,2019-01-01,1121,0,1121,89,1210,1210,0,0
167,2019-01-01,1149,0,1149,91,1240,1240,0,0
168,2019-01-01,1815,0,1815,145,1960,1960,0,0
169,2019-01-01,510,0,510,40,550,550,0,0
170,2019-01-01,343,0,343,27,370,370,0,0
171,2019-01-01,908,0,908,72,980,980,0,0
172,2019-01-01,389,0,389,31,420,0,420,0
173,2019-01-01,565,0,565,45,610,610,0,0
174,2019-01-01,1352,0,1352,108,1460,1460,0,0
175,2019-01-01,334,0,334,26,360,360,0,0
176,2019-01-01,954,0,954,76,1030,1030,0,0
177,2019-01-01,778,0,778,62,840,840,0,0
178,2019-01-01,1815,0,1815,145,1960,1960,0,0
179,2019-01-01,315,0,315,25,340,340,0,0
180,2019-01-01,518,0,518,32,550,550,0,0
181,2019-01-01,1825,0,1825,145,1970,1970,0,0
182,2019-01-01,556,0,556,44,600,600,0,0
183,2019-01-01,796,0,796,54,850,850,0,0
184,2019-01-01,510,0,510,40,550,550,0,0
185,2019-01-01,908,0,908,72,980,980,0,0
186,2019-01-01,750,0,750,60,810,810,0,0
187,2019-01-01,1815,0,1815,145,1960,1960,0,0
188,2019-01-01,1528,0,1528,122,1650,1650,0,0
189,2019-01-01,1084,0,1084,86,1170,1170,0,0
190,2019-01-01,1167,0,1167,93,1260,1260,0,0
191,2019-01-01,528,0,528,42,570,570,0,0
192,2019-01-01,389,0,389,31,420,420,0,0
193,2019-01-01,1306,0,1306,104,1410,1410,0,0
194,2019-01-01,1380,0,1380,110,1490,1490,0,0
195,2019-01-01,2158,0,2158,172,2330,2330,0,0
196,2019-01-01,1843,-1000,843,67,910,910,0,0
197,2019-01-01,1038,0,1038,82,1120,1120,0,0
198,2019-01-01,491,0,491,39,530,530,0,0
199,2019-01-01,806,0,806,64,870,870,0,0
200,2019-01-01,343,0,343,27,370,370,0,0
201,2019-01-01,667,0,667,53,720,720,0,0
202,2019-01-01,1399,0,1399,111,1510,0,1510,0
203,2019-01-01,1232,0,1232,98,1330,1330,0,0
204,2019-01-01,695,0,695,55,750,750,0,0
205,2019-01-01,788,0,788,62,850,850,0,0
206,2019-01-01,167,0,167,13,180,180,0,0
207,2019-01-01,1028,0,1028,82,1110,1110,0,0
208,2019-01-01,389,0,389,31,420,420,0,0
209,2019-01-01,1260,0,1260,100,1360,1360,0,0
210,2019-01-01,1223,0,1223,97,1320,0,1320,0
211,2019-01-01,93,0,93,7,100,100,0,0
212,2019-01-01,1158,-1000,158,12,170,170,0,0
213,2019-01-01,2887,0,2887,213,3100,3100,0,0
214,2019-01-01,556,0,556,44,600,600,0,0
215,2019-01-01,584,0,584,46,630,630,0,0
216,2019-01-01,658,0,658,52,710,710,0,0
217,2019-01-01,1954,0,1954,156,2110,2110,0,0
218,2019-01-01,2380,0,2380,190,2570,2570,0,0
219,2019-01-01,1065,0,1065,85,1150,1150,0,0
220,2019-01-01,862,0,862,68,930,930,0,0
221,2019-01-01,639,0,639,51,690,690,0,0
222,2019-01-01,676,0,676,54,730,730,0,0
223,2019-01-01,1251,0,1251,99,1350,1350,0,0
224,2019-01-01,2158,0,2158,172,2330,2330,0,0
225,2019-01-01,399,0,399,31,430,430,0,0
226,2019-01-01,751,0,751,59,810,810,0,0
