,Name,Platform,Year_of_Release,Genre,Developer(s),Award,Global_Sales
384,PC: EverQuest,Microsoft Windows,1999,MMORPG,Sony Online Entertainment,GameSpot,
385,Console: Chrono Cross,PlayStation,2000,Role-playing,Square,GameSpot,
386,PC: The Sims,"Microsoft Windows, Mac OS",2000,Life simulation,Maxis,GameSpot,
387,Console: Grand Theft Auto III,PlayStation 2,2001,Action-adventure,DMA Design,GameSpot,
388,PC: Serious Sam: The First Encounter,Microsoft Windows,2001,First-person shooter,Croteam,GameSpot,
389,Metroid Prime,GameCube,2002,Action-adventure,Retro Studios,GameSpot,2.82
390,The Legend of Zelda: The Wind Waker,GameCube,2003,Action-adventure,Nintendo EAD,GameSpot,6.39
391,World of Warcraft,"Microsoft Windows, OS X",2004,MMORPG,Blizzard Entertainment,GameSpot,6.29
392,Resident Evil 4,"GameCube, PlayStation 2",2005,Survival horror,Capcom,GameSpot,7.56
393,Gears of War,Xbox 360,2006,Third-person shooter,Epic Games,GameSpot,6.109999999999999
394,Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD,GameSpot,11.35
395,Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,2008,Action-adventure,Kojima Productions,GameSpot,5.99
396,Demon's Souls,PlayStation 3,2009,Action role-playing,FromSoftware,GameSpot,1.82
397,Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego,GameSpot,12.81
398, The Elder Scrolls V: Skyrim,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action role-playing,Bethesda Game Studios,GameSpot,
399, Journey,PlayStation 3,2012,Adventure,Thatgamecompany,GameSpot,
400, The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,2013,Action-adventure,Nintendo EAD,GameSpot,
401,Middle-earth: Shadow of Mordor,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action-adventure,Monolith Productions,GameSpot,
402,The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt Red,GameSpot,6.0
403,Overwatch,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,Blizzard Entertainment,GameSpot,3.7300000000000004
404,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,GameSpot,10.8
405,Red Dead Redemption 2,"PlayStation 4, Xbox One",2018,Action-adventure,Rockstar Studios,GameSpot,19.71
406,Sekiro: Shadows Die Twice,"Microsoft Windows, PlayStation 4, Xbox One",2019,Action-adventure,FromSoftware,GameSpot,0.0
407,The Legend of Zelda: Twilight Princess,"GameCube, Wii",2006,Action-adventure,Nintendo EAD,GamesRadar+,8.74
408,The Orange Box,"Microsoft Windows, Xbox 360, PlayStation 3, OS X, Linux",2007,First-person shooter,Valve,GamesRadar+,3.02
409,Fallout 3,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action role-playing,Bethesda Game Studios,GamesRadar+,9.85
410,Batman: Arkham Asylum,"Microsoft Windows, PlayStation 3, Xbox 360",2009,Action-adventure,Rocksteady Studios,GamesRadar+,8.030000000000001
411,Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego,GamesRadar+,12.81
412,Portal 2,"Microsoft Windows, OS X, PlayStation 3, Xbox 360",2011,Puzzle-platformer,Valve,GamesRadar+,4.54
413,The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games,GamesRadar+,
414,The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog,GamesRadar+,10.58
415,Destiny,"PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,Bungie,GamesRadar+,12.55
416,Metal Gear Solid V: The Phantom Pain,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2015,Action-adventure,Kojima Productions,GamesRadar+,5.06
417,Titanfall 2,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,Respawn Entertainment,GamesRadar+,1.4
418,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Nintendo Wii U",2017,Action-adventure,Nintendo EPD,GamesRadar+,10.8
419,God of War,PlayStation 4,2018,Action-adventure,SIE Santa Monica Studio,GamesRadar+,35.99
420,Control,"Microsoft Windows, PlayStation 4, Xbox One",2019,Action-adventure,Remedy Entertainment,GamesRadar+,4.7
421,Grand Theft Auto IV,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action-adventure,Rockstar North,Giant Bomb,22.389999999999997
422,Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog,Giant Bomb,6.66
423,Mass Effect 2,"Microsoft Windows, PlayStation 3, Xbox 360",2010,Action role-playing,BioWare,Giant Bomb,4.9399999999999995
424, The Elder Scrolls V: Skyrim,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action role-playing,Bethesda Game Studios,Giant Bomb,
425, XCOM: Enemy Unknown,"Microsoft Windows, PlayStation 3, Xbox 360",2012,Turn-based tactics,Firaxis Games,Giant Bomb,
426, The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog,Giant Bomb,
427, Middle-earth: Shadow of Mordor,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action-adventure,Monolith Productions,Giant Bomb,
428, Super Mario Maker,Wii U,2015,Platformer,Nintendo EAD,Giant Bomb,
429,Hitman,"Microsoft Windows, PlayStation 4, Xbox One",2016,Stealth,IO Interactive,Giant Bomb,
430,PlayerUnknown's Battlegrounds,"Microsoft Windows, Xbox One",2017,Battle royale,PUBG Corporation,Giant Bomb,
431,Tetris Effect,"PlayStation 4, PlayStation VR",2018,Puzzle,Monstars Inc./Resonai,Giant Bomb,0.25
432,Outer Wilds,"Microsoft Windows, PlayStation 4, Xbox One",2019,Action-adventure,Mobius Digital,Giant Bomb,0.0
433,Far Cry 3,"Microsoft Windows, PlayStation 3, Xbox 360",2012,First-person shooter,Ubisoft,Hardcore Gamer,7.31
434,The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog,Hardcore Gamer,10.58
435,Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare,Hardcore Gamer,4.8
436,Tales from the Borderlands,"Android, iOS, Microsoft Windows, OS X, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2015,Graphic adventure,Telltale Games,Hardcore Gamer,
437,Owlboy,"Microsoft Windows, macOS, Linux, Nintendo Switch, PlayStation 4, Xbox One",2016,Platform-adventure,D-Pad Studio,Hardcore Gamer,
438,Nier: Automata,"Microsoft Windows, PlayStation 4, Xbox One",2017,Action role-playing,PlatinumGames,Hardcore Gamer,
439,God of War,PlayStation 4,2018,Action-adventure,SIE Santa Monica Studio,Hardcore Gamer,35.99
440,Resident Evil 2,"Microsoft Windows, PlayStation 4, Xbox One",2019,Survival horror,Capcom,Hardcore Gamer,14.96
441,Halo: Combat Evolved,Xbox,2001,First-person shooter,Bungie,IGN,6.47
442,Battlefield 1942,Microsoft Windows,2002,First-person shooter,Digital Illusions CE,IGN,0.03
443,Star Wars: Knights of the Old Republic,"Microsoft Windows, Xbox",2003,Role-playing,BioWare,IGN,2.33
444,Half-Life 2,Microsoft Windows,2004,First-person shooter,Valve,IGN,2.98
445,God of War,PlayStation 2,2005,Action-adventure,SCE Santa Monica Studio,IGN,35.99
446,Ōkami,PlayStation 2,2006,Action-adventure,Clover Studio,IGN,
447,Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD,IGN,11.35
448,Fallout 3,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action role-playing,Bethesda Game Studios,IGN,9.85
449,Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog,IGN,6.66
450,Mass Effect 2,"Microsoft Windows, Xbox 360, PlayStation 3",2010,Action role-playing,BioWare,IGN,4.9399999999999995
451,Portal 2,"Microsoft Windows, OS X, PlayStation 3, Xbox 360",2011,Puzzle-platformer,Valve,IGN,4.54
452,Journey,PlayStation 3,2012,Adventure,Thatgamecompany,IGN,0.21
453,The Last of Us ,PlayStation 3,2013,Action-adventure,Naughty Dog,IGN,
454,Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare,IGN,4.8
455,The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt Red,IGN,6.0
456,Overwatch,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,Blizzard Entertainment,IGN,3.7300000000000004
457,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,IGN,10.8
458,God of War,PlayStation 4,2018,Action-adventure,SIE Santa Monica Studio,IGN,35.99
459,Control,"Microsoft Windows, PlayStation 4, Xbox One",2019,Action-adventure,Remedy Entertainment,IGN,4.7
460,The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games,Polygon,
461,Gone Home,"Microsoft Windows, OS X, Linux",2013,Adventure,The Fullbright Company,Polygon,
462,Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare,Polygon,4.8
463,Her Story,"Microsoft Windows, OS X, iOS",2015,Interactive movie,Sam Barlow,Polygon,
464,Doom,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,id Software,Polygon,0.9500000000000001
465,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,Polygon,10.8
466,God of War,PlayStation 4,2018,Action-adventure,SIE Santa Monica Studio,Polygon,35.99
467,Outer Wilds,"Microsoft Windows, PlayStation 4, Xbox One",2019,Action-adventure,Mobius Digital,Polygon,0.0
468,Wii Sports,Wii,2006,Sports,Nintendo EAD,Time,82.53
469,Halo 3,Xbox 360,2007,First-person shooter,Bungie,Time,12.12
470,Grand Theft Auto IV,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action-adventure,Rockstar North,Time,22.389999999999997
471,Call of Duty: Modern Warfare 2,"Microsoft Windows, PlayStation 3, Xbox 360",2009,First-person shooter,Infinity Ward,Time,24.95
472,Alan Wake,Xbox 360,2010,Action-adventure,Remedy Entertainment,Time,1.3900000000000001
473,Minecraft,"Microsoft Windows, OS X, Linux, Android, iOS",2011,Sandbox,Mojang,Time,24.159999999999997
474,Guild Wars 2,Microsoft Windows,2012,MMORPG,ArenaNet,Time,2.31
475,Grand Theft Auto V,"PlayStation 3, Xbox 360",2013,Action-adventure,Rockstar North,Time,56.57000000000001
476,80 Days,"iOS, Android",2014,Interactive fiction,Inkle,Time,
477,Prune,"iOS, Android",2015,Puzzle,Joel McDonald,Time,
478,The Witness,"Microsoft Windows, PlayStation 4, Xbox One, iOS",2016,Puzzle,"Thekla, Inc.",Time,
479,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,Time,10.8
480,God of War,PlayStation 4,2018,Action-adventure,SIE Santa Monica Studio,Time,35.99
481,Super Mario Maker,Wii U,2015,Platform,Nintendo EAD,USgamer,3.21
482,Overwatch,"Microsoft Windows, PlayStation 4, Xbox One",2016,First-person shooter,Blizzard Entertainment,USgamer,3.7300000000000004
483,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,USgamer,10.8
484,Red Dead Redemption 2,"PlayStation 4, Xbox One",2018,Action-adventure,Rockstar Studios,USgamer,19.71
485,Disco Elysium,Microsoft Windows,2019,Role-playing,ZA/UM,USgamer,0.0
486,Super Mario Galaxy,Wii,2007,Platformer,Nintendo EAD,Yahoo!,11.35
487,Fallout 3,"Microsoft Windows, PlayStation 3, Xbox 360",2008,Action role-playing,Bethesda Game Studios,Yahoo!,9.85
488,Uncharted 2: Among Thieves,PlayStation 3,2009,Action-adventure,Naughty Dog,Yahoo!,6.66
489,Red Dead Redemption,"PlayStation 3, Xbox 360",2010,Action-adventure,Rockstar San Diego,Yahoo!,12.81
490,Batman: Arkham City,"Microsoft Windows, PlayStation 3, Xbox 360",2011,Action-adventure,Rocksteady Studios,Yahoo!,11.1
491,The Walking Dead,"iOS, Microsoft Windows, OS X, PlayStation 3, Xbox 360",2012,Graphic adventure,Telltale Games,Yahoo!,
492,The Last of Us,PlayStation 3,2013,Action-adventure,Naughty Dog,Yahoo!,10.58
493,Dragon Age: Inquisition,"Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",2014,Action role-playing,BioWare,Yahoo!,4.8
494,The Witcher 3: Wild Hunt,"Microsoft Windows, PlayStation 4, Xbox One",2015,Action role-playing,CD Projekt Red,Yahoo!,6.0
495,The Legend of Zelda: Breath of the Wild,"Nintendo Switch, Wii U",2017,Action-adventure,Nintendo EPD,Yahoo!,10.8
